name,gender,organization,date,location,type_of_death
Amjad Hassan Bakir,Male,Saraqib al-Hadath,"June 18, 2019",Syria,Crossfire
Ammar al-Shami,Male,Qasioun News,"May 31, 2015",Syria,Crossfire
Ammar Mohamed Suhail Zado,Male,Shaam News Network,"May 27, 2012",Syria,Crossfire
Amr Badir al-Deen Junaid,Male,Qaboun Media Center,"March 10, 2013",Syria,Crossfire
Anak Agung Prabangsa,Male,Radar Bali,"February 11, 2009",Indonesia,Murder
Ananta Bijoy Das,Male,Freelance,"May 12, 2015",Bangladesh,Murder
Anas al-Dyab,Male,Freelance,"July 21, 2019",Syria,Crossfire
Anas al-Tarsha,Male,Freelance,"February 24, 2012",Syria,Crossfire
Anastase Seruvumba,Male,Imbaga,"April 29, 1994",Rwanda,Murder
Anatoly Klyan,Male,Pervy Kanal,"June 30, 2014",Ukraine,Dangerous Assignment
Anatoly Levin-Utkin,Male,Yuridichesky Peterburg Segodnya,"August 24, 1998",Russia,Murder
Ando Ratovonirina,Male,Radio Télévision Analamanga,"February 7, 2009",Madagascar,Dangerous Assignment
André Kameya,Male,Rwanda Rushya,"April-June, 1994",Rwanda,Murder
Andrea Rocchelli,Male,Cesura photo agency,"May 24, 2014",Ukraine,Crossfire
Andrei Soloviev,Male,ITAR-TASS,"September 27, 1993",Georgia,Crossfire
Andrei Stenin,Male,Rossiya Segodnya,"August 6, 2014",Ukraine,Crossfire
Andrés Felipe Guevara Henao,Male,Q’hubo Cali,"December 23, 2020",Colombia,
Andres Teodoro,Male,Central Mindanao Inquirer,"November 23, 2009",Philippines,Murder
Ángel Eduardo Gahona,Male,El Meridiano,"April 21, 2018",Nicaragua,Dangerous Assignment
Anil Mazumdar,Male,Aji,"March 24, 2009",India,Murder
Anthony Macharia,Male,Reuters,"July 12, 1993",Somalia,Murder
Antoine Massé,Male,Le Courrier d'Abidjan,"November 7, 2004",Ivory Coast,Dangerous Assignment
Anton Hammerl,Male,Freelance,"April 5, 2011",Libya,Crossfire
Antonio Casemero,Male,Televisao Popular de Angola,"October 30, 1996",Angola,Murder
Antonio de la Torre Echeandía,Male,Radio Órbita,"February 14, 2004",Peru,Murder
Anura Priyantha,Male,Independent Television Network,"December 18, 1999",Sri Lanka,Dangerous Assignment
Anwar al-Rakan,Male,"Al-Gomhouria,Al-Jamahir","June 2, 2018",Yemen,
"Apolinario ""Polly"" Pobeda",Male,DWTI Radio,"May 17, 2003",Philippines,Murder
Ardiansyah Matra'is,Male,Merauke TV,"July 30, 2010",Indonesia,Murder
Aref Ali Filaih,Male,Aswat al-Iraq,"June 11, 2007",Iraq,Crossfire
Aristeu Guida da Silva,Male,A Gazeta de São Fidélis,"May 12, 1995",Brazil,Murder
Arkan Sharifi,Male,Kurdistan TV,"October 30, 2017",Iraq,Murder
Arman Soldin,Male,Agence France-Presse,"May 9, 2023",Ukraine,Crossfire
Armando Linares López,Male,Monitor Michoacán,"March 15, 2022",Mexico,Murder
Armando Pace,Male,DXDS,"July 18, 2006",Philippines,Murder
Armando Saldaña Morales,Male,La Ke Buena 100.9 FM,"May 2,3 or 4, 2015",Mexico,Murder
Arnnel Manalo,Male,Bulgar and DZRH Radio,"August 5, 2004",Philippines,Murder
Arshad Sharif,Male,,"October 23, 2022",Kenya,
Artur Gilela,Male,Radio Nacional de Angola,"June 16, 1994",Angola,Crossfire
Arturo Alba,Male,Telediario,"October 29, 2020",Mexico,
Arturo Betia,Male,Periodico Ini,"November 23, 2009",Philippines,Murder
Asaad Kadhim,Male,Al-Iraqiya TV,"April 19, 2004",Iraq,Crossfire
Asfandyar Khan,Male,Akhbar-e-Khyber,"June 11, 2011",Pakistan,Dangerous Assignment
Ashok Sodhi,Male,Daily Excelsior,"May 11, 2008",India,Dangerous Assignment
Aslam Durrani,Male,Daily Pakistan,"April 16, 2013",Pakistan,Dangerous Assignment
Assaad Shamlakh,Male,,"October 8, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Assaf Abu Rahal,Male,Al-Akhbar,"August 3, 2010",Lebanon,Crossfire
Aswan Ahmed Lutfallah,Male,APTN,"December 12, 2006",Iraq,Murder
Atallah Bajbouj,Male,Nabaa Media Foundation,"October 15, 2014",Syria,Crossfire
Athiwat Chaiyanurat,Male,"Matichon, Channel 7","August 1, 2008",Thailand,Murder
Atilano Segundo Pérez Barrios,Male,Radio Vigía de Todelar,"August 22, 2006",Colombia,Murder
"Aung Kyaw Naing, ""Par Gyi""",Male,Freelance,"October 4, 2014",Myanmar,Murder
Avijit Roy,Male,Freelance,"February 26, 2015",Bangladesh,Murder
Avinash Jha,Male,BNN News,"November 9-12, 2021",India,Murder
Awab al-Zubiry,Male,Freelance,"November 18, 2016",Yemen,Crossfire
Awil Dahir Salad,Male,Universal TV,"December 22, 2018",Somalia,Dangerous Assignment
Aye Kyaw,Male,Freelance,"July 30, 2022",Myanmar,Murder
Ayham Mostafa Ghazzoul,Male,Syrian Center for Media and Freedom of Expression,"November 9, 2012",Syria,Dangerous Assignment
Ayoub Mohamed,Male,Kurdistan TV,"February 1, 2004",Iraq,Crossfire
Ayub Khattak,Male,Karak Times,"October 11, 2013",Pakistan,Murder
Azamat Ali Bangash,Male,Samaa TV,"April 17, 2010",Pakistan,Dangerous Assignment
Aziz Memon,Male,"KTN News,Daily Kawish","February 17, 2020",Pakistan,
Azizullah Haidari,Male,Reuters,"November 19, 2001",Afghanistan,Murder
Azzedine Saidj,Male,El-Ouma,"May 15, 1995",Algeria,Murder
Bakhsheesh Elahi,Male,K2,"June 11, 2017",Pakistan,
Bakhti Benaouda,Male,El-Djoumhouria,"May 22, 1995",Algeria,Murder
Bala Nadarajah Iyer,Male,Thinamurasu and Thinakaran,"August 16, 2004",Sri Lanka,Murder
Bardhyl Ajeti,Male,Bota Sot,"June 25, 2005",Serbia,Murder
Barkhat Awale,Male,Hurma Radio,"August 24, 2010",Somalia,Crossfire
Basel Tawfiq Youssef,Male,Syrian State TV,"November 21, 2012",Syria,Crossfire
Bashar al-Attar,Male,Arbin Unified Media Office,"March 12, 2018",Syria,Crossfire
Bashar al-Nuaimi,Male,Al-Mosuliya TV,"October 24, 2013",Iraq,Murder
Bashiir Noor Gedi,Male,Radio Shabelle,"October 19, 2007",Somalia,Murder
Basil al-Sayed,Male,Freelance,"December 27, 2011",Syria,Dangerous Assignment
Basil Nabil Ibrahim Faraj,Male,Palestinian Media and Communication Company,"January 7, 2009",Israel and the Occupied Palestinian Territory,Crossfire
Bassel al-Shahade,Male,Freelance,"May 28, 2012",Syria,Crossfire
Bassem Fawaz al-Zabi,Male,Freelance,"January 13, 2013",Syria,Crossfire
Bayo Ohu,Male,The Guardian,"September 20, 2009",Nigeria,Murder
Benjamín Flores González,Male,La Prensa,"July 15, 1997",Mexico,Murder
Benjamín Morales Hernández,Male,Noticias Xonoidag,"May 2-3, 2021",Mexico,
Benjie Caballero,Male,Radyo ni Juan,"December 2, 2019",Philippines,
Bernabé Cortés Valderrama,Male,Noticias CVN,"May 19, 1998",Colombia,Murder
Bernard Maris,Male,Freelance,"January 7, 2015",France,Murder
Bernard Verlhac (Tignous),Male,Freelance,"January 7, 2015",France,Murder
Bhola Nath Masoom,Male,Hind Samachar,"January 31, 1993",India,Murder
Bienvenido Legarte Jr.,Male,Prontiera News,"November 23, 2009",Philippines,Murder
Bienvenido Lemos,Male,Caracol Radio,"September 30, 1993",Colombia,Murder
Bilal Ahmed Bilal,Male,Palestine Today TV,Unknown in 2014,Syria,Dangerous Assignment
Bilal Jadallah,Male,Press House-Palestine,"November 19, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Bilal Sharaf al-Deen,Male,Al-Masirah TV,"September 17, 2015",Yemen,Crossfire
Birendra Shah,Male,"Nepal FM, Dristi Weekly, and Avenues TV","October 4, 2007",Nepal,Murder
Bismillah Adel Aimaq,Male,Radio Sada-e-Ghor,"January 1, 2021",Afghanistan,
Bladimir Antuna García,Male,El Tiempo de Durango,"November 2, 2009",Mexico,Murder
Bohdan Bitik,Male,,"April 26, 2023",Ukraine,Crossfire
Bonifacio Gregorio,Male,Dyaryo Banat,"July 8, 2003",Philippines,Murder
Borhan Uddin Muzakkir,Male,"Barta Bazar,Bangladesh Samachar","February 20, 2021",Bangladesh,Dangerous Assignment
Borys Derevyanko,Male,Vechernyaya Odessa,"August 11, 1997",Ukraine,Murder
Boutros Martin,Male,South Sudan Television,"January 25, 2015",South Sudan,Murder
Bradley Will,Male,freelance,"October 27, 2006",Mexico,Dangerous Assignment
Brahim Guaraoui,Male,El-Moudjahid,"September 4, 1995",Algeria,Murder
Brent Renaud,Male,Time,"March 13, 2022",Ukraine,Crossfire
Brian Brinton,Male,freelance,"May 1, 1994",Bosnia,Crossfire
Brian Smith,Male,CJOH-TV,"August 1, 1995",Canada,Murder
Brignol Lindor,Male,Radio Echo 2000,"December 3, 2001",Haiti,Murder
Bryan Guerra,Male,Noticias TLCOM,"March 5, 2020",Guatemala,
Buenaventura Calderón,Male,Kupia Kumi,"November 1, 2019",Honduras,
Burhan Mohamed Mazhour,Male,ABC,"March 26, 2004",Iraq,Crossfire
Byron Baldeón,Male,Freelance,"July 1, 2012",Ecuador,Murder
Calvin Thusago,Male,South African Broadcasting Corporation (SABC),"April 23, 1993",South Africa,Murder
Candelario Cayona,Male,Radio DXLL,"May 30, 2001",Philippines,Murder
Cándido Ríos Vázquez,Male,La Voz de Hueyapán,"August 22, 2017",Mexico,
Carlos Alberto Guajardo Romero,Male,Expreso Matamoros,"November 5, 2010",Mexico,Dangerous Assignment
Carlos Cardoso,Male,Metical,"November 22, 2000",Mozambique,Murder
Carlos Domínguez Rodríguez,Male,Freelance,"January 13, 2018",Mexico,Murder
Carlos Grant,Male,El Tiempo,"April 26, 1993",Honduras,Murder
Carlos José Guadamuz,Male,Canal 23,"February 10, 2004",Nicaragua,Murder
Carlos Lajud Catalan,Male,ABC Radio,"April 19, 1993",Colombia,Murder
Carlos Oveniel Lara Domínguez,Male,Canal 12 Telemaya,"October 23, 2017",Honduras,
Carlos Quispe Quispe,Male,Radio Municipal,"March 29, 2008",Bolivia,Murder
Carlos Salgado,Male,Radio Cadena Voces,"October 18, 2007",Honduras,Murder
Carlos William Flores,Male,Canal 22,"September 13, 2017",Honduras,
Carsten Thomassen,Male,Dagbladet,"January 15, 2008",Afghanistan,Dangerous Assignment
Cecilio Pineda Birto,Male,Freelance,"March 2, 2017",Mexico,Murder
Cengiz Altun,Male,Yeni Ülke,"February 24, 1992",Turkey,Murder
Cetin Abayay,Male,Ozgur Halk,"July 29, 1992",Turkey,Murder
Chalee Boonsawat,Male,Thai Rath,"August 21, 2008",Thailand,Dangerous Assignment
Chan Dara,Male,Koh Santepheap,"December 8, 1994",Cambodia,Murder
Chandan Tiwari,Male,Aj Newspaper,"October 30, 2018",India,Murder
Charles Bideri-Munyangabe,Male,Le Messager,"April 11, 1994",Rwanda,Murder
Charles Karinganire,Male,Le Flambeau,"April 24, 1994",Rwanda,Murder
Chauncey Bailey,Male,Oakland Post,"August 2, 2007",USA,Murder
Chennakeshavalu,Male,EV5,"August 8, 2021",India,Murder
Chet Duong Daravuth,Male,Neak Prayuth,"March 30, 1997",Cambodia,Dangerous Assignment
Chief Ebrima Manneh,Male,Daily Observer,Unknown,Gambia,Unknown
Chingiz Fuad-ogly Mustafayev,Male,DR-Press,"June 15, 1992",Azerbaijan,Crossfire
Chishti Mujahid,Male,Akbar-e-Jehan,"February 9, 2008",Pakistan,Murder
Chou Chetharith,Male,Ta Prum,"October 18, 2003",Cambodia,Murder
Chris Hondros,Male,Getty Images,"April 20, 2011",Libya,Crossfire
Christian Gregorio Poveda Ruiz,Male,Freelance,"September 2, 2009",El Salvador,Murder
Christian Liebig,Male,Focus,"April 7, 2003",Iraq,Crossfire
Christian Struwe,Male,freelance,"October 7, 2006",Afghanistan,Murder
Christoff Griffith,Male,The Nation,"June 22, 2020",Barbados,Dangerous Assignment
Christopher Allen,Male,Freelance,"August 26, 2017",South Sudan,Crossfire
Christopher Guarin,Male,Radyo Mo Nationwide and Tatak News,"January 5, 2012",Philippines,Murder
Christopher Iban Lozada,Male,DBXF Prime Broadcasting Network,"October 24, 2017",Philippines,Murder
Cihan Hayırsevener,Male,Güney Marmara’da Yaşam,"December 19, 2009",Turkey,Murder
Claude Verlon,Male,Radio France Internationale,"November 2, 2013",Mali,Murder
Clodomiro Castilla Ospino,Male,El Pulso del Tiempo,"March 19, 2010",Colombia,Murder
Conrad Roy,Male,Expo Times,"April 30, 1999",Sierra Leone,Dangerous Assignment
Cris Bundoquin,Male,DWXR 101.7 Kalahi FM; MUX Online Radio,"May 31, 2023",Philippines,Murder
Crispin Perez,Male,DWDO Radio,"June 9, 2009",Philippines,Murder
Daif al-Gahzal al-Shuhaibi,Male,freelance,"June 2, 2005",Libya,Murder
Dan Eldon,Male,Reuters,"July 12, 1993",Somalia,Murder
Daniel Pearl,Male,The Wall Street Journal,"Between January 23 and February 21, 2002",Pakistan,Murder
Danilo López,Male,Prensa Libre,"March 10, 2015",Guatemala,Murder
Danilo Vergara,Male,Philippine Post,"July 1, 1992",Philippines,Murder
Danish Siddiqui,Male,Reuters,"July 16, 2021",Afghanistan,Crossfire
Danny Hernandez,Male,People's Journal Tonight,"June 3, 1997",Philippines,Murder
Dario D'Angelo,Male,RAI-TV,"January 28, 1994",Bosnia,Crossfire
Darío Fernández Jaén,Male,Radio Mi Favorita,"November 6, 2011",Panama,Murder
Daud Ali Omar,Male,Radio Baidoa,"April 29, 2015",Somalia,Murder
Daudi Mwangosi,Male,Channel Ten,"September 2, 2012",Tanzania,Dangerous Assignment
David Beriain,Male,93 Metros,"April 26 - 27, 2021",Burkina Faso,Murder
David Bolkvadze,Male,Worldwide Television News,"October 28, 1993",Georgia,Crossfire
David Gilkey,Male,National Public Radio,"June 5, 2016",Afghanistan,Crossfire
David Kaplan,Male,ABC News,"August 13, 1992",Bosnia,Crossfire
David Meza Montesinos,Male,"Radio El Patio, Radio America, Channel 45","March 11, 2010",Honduras,Murder
Dawit Kebede Araya,Male,Tigray TV,"January 19, 2021",Ethiopia,
Décio Sá,Male,O Estado do Maranhão and Blog do Décio,"April 23, 2012",Brazil,Murder
Dekendra Raj Thapa,Male,Radio Nepal,"August 11, 2004",Nepal,Murder
Dennis Cuesta,Male,DXMD,"August 9, 2008",Philippines,Murder
Dennis Denora,Male,Trends and Times,"June 7, 2018",Philippines,Murder
Desidario Camangyan,Male,Sunrise FM,"June 14, 2010",Philippines,Murder
Deyda Hydara,Male,The Point,"December 16, 2004",Gambia,Murder
Dhan Bahadur Rokka Magar,Male,Radio Nepal,"January 30, 2003",Nepal,Murder
Dharmeratnam Sivaram,Male,TamilNet and Daily Mirror,"April 29, 2005",Sri Lanka,Murder
Dhia Najim,Male,freelance,"November 1, 2004",Iraq,Crossfire
Diego Charles,Male,"Radio Vision 2000,Gazette Haïti,Larepiblik Magazine","June 29, 2021",Haiti,
Dina Mohammed Hassan,Male,Al-Hurriya,"October 14, 2004",Iraq,Murder
Dindo Generoso,Male,DyEM 96.7 FM Bai Radio,"November 7, 2019",Philippines,Murder
Dinesh Pathak,Male,Sandesh,"May 22, 1993",India,Murder
Djalma Santos da Conceição,Male,RCA FM,"May 22 or 23, 2015",Brazil,Murder
Djamel Bouhidel,Male,Nouveau Tell,"October 5, 1993",Algeria,Murder
Djamel Derraz,Male,Le Soir d'Algérie,"February 11, 1996",Algeria,Murder
Djamel Ziater,Male,El-Djoumhouria,"February 17, 1995",Algeria,Murder
Djilali Arabidou,Male,Algérie-Actualité,"March 12, 1996",Algeria,Murder
Dmitry Chebotayev,Male,freelance,"May 6, 2007",Iraq,Crossfire
Dmitry Kholodov,Male,Moskovsky Komsomolets,"October 17, 1994",Russia,Murder
Dmitry Krikoryants,Male,Expresskhronika,"April 14, 1993",Russia,Murder
Dmitry Popkov,Male,Ton-M,"May 24, 2017",Russia,Murder
Dmitry Zavadsky,Male,ORT,"November 28, 2003",Belarus,Murder
Dom Phillips,Male,Freelance,"June 5, 2022",Brazil,Murder
Domingos Sávio Brandão Lima Júnior,Male,Folha do Estado,"September 30, 2002",Brazil,Murder
Dominique Lonneux,Male,Freelancer,"June 2, 1993",Bosnia,Crossfire
Dona St. Plite,Male,"WKAT, Miami","October 24, 1993",USA,Murder
Dumesky Kersaint,Male,Radio-Télé INUREP,"April 16, 2023",Haiti,Murder
Duraid Isa Mohammed,Male,CNN,"January 27, 2004",Iraq,Crossfire
Dusko Jovanovic,Male,Dan,"May 28, 2004",Montenegro,Murder
Dwijamani Singh,Male,Prime News,"December 23, 2012",India,Dangerous Assignment
Dylan Lyons,Male,Spectrum News 13,"February 22, 2023",USA,Dangerous Assignment
Ebrahim Zalzadeh,Male,Mayar,"February 22, 1997",Iran,Murder
Edgar Alberto Nava López,Male,La Verdad de Zihuatanejo,"August 2, 2019",Mexico,
Edgar Damalerio,Male,Zamboanga Scribe and DXKP Radio,"May 13, 2002",Philippines,Murder
Edgar Daniel Esqueda Castro,Male,Freelance,"October 5- 6, 2017",Mexico,Murder
Edgar Joel Aguilar,Male,"Cablemar TV,Channel 6","August 31, 2019",Honduras,
Edgar Lopes de Faria,Male,FM Capital,"October 29, 1997",Brazil,Murder
Edgar Pantaleón Fernández Fleitas,Male,Belén Comunicaciones,"June 19, 2014",Paraguay,Murder
Edinaldo Filgueira,Male,Jornal o Serrano,"June 15, 2011",Brazil,Murder
Édison Alberto Molina,Male,Puerto Berrío Stereo,"September 11, 2013",Colombia,Murder
Edmund Sestoso,Male,DYGB-FM,"May 1, 2018",Philippines,
Eduard Markevich,Male,Novy Reft,"September 18, 2001",Russia,Murder
Eduardo Carvalho,Male,Última Hora News,"November 21, 2012",Brazil,Murder
Eduardo Dizon,Male,Brigada News FM,"July 10, 2019",Philippines,Murder
Eduardo González,Male,F.M. Costanera del Sur,"March 12, 2017",Paraguay,
Edward Chikomba,Male,Zimbabwe Broadcasting Corporation (former),"March 31, 2007",Zimbabwe,Murder
Edward Smith,Male,BBC,"April 13, 1998",Sierra Leone,Crossfire
Edwin Rivera Paz,Male,Freelance,"July 9, 2017",Mexico,
Efraín Varela Noriega,Male,Radio Meridiano-70,"June 28, 2002",Colombia,Murder
Ejaz Raisani,Male,Samaa TV,"September 6, 2010",Pakistan,Dangerous Assignment
Ejazul Haq,Male,City-42 TV,"May 28, 2010",Pakistan,Dangerous Assignment
El-Hadj Mohamed Diallo,Male,"Guinée7, Afrik","February 5, 2016",Guinea,Dangerous Assignment
Eldy Sablas (aka Eldy Gabinales),Male,Radio DXJR-FM,"October 19, 2004",Philippines,Murder
Elidio Ramos Zárate,Male,El Sur,"June 19, 2016",Mexico,Murder
Eliseo Barrón Hernández,Male,La Opinión,"May 25, 2009",Mexico,Murder
Elmar Huseynov,Male,Monitor,"March 2, 2005",Azerbaijan,Murder
Elpidio Binoya,Male,Radyo Natin,"June 17, 2004",Philippines,Murder
Elpidio Inacio,Male,Televisao Popular de Angola,"August 23, 1993",Angola,Crossfire
Elyas Dayee,Male,Radio Free Europe/Radio Liberty,"November 12, 2020",Afghanistan,Murder
Emmanuel-Damien Rukondo,Male,Rubyiruko-Rubanda,"April 24, 1994",Rwanda,Murder
Enenche Akogwu,Male,Channels TV,"January 20, 2012",Nigeria,Murder
Enzo Baldoni,Male,freelance,"August 26, 2004",Iraq,Murder
Ernesto Acero Cadena,Male,Informador Socioeconómico,"December 12, 1995",Colombia,Murder
Ernesto Maravilla,Male,Bombo Radyo,"November 23, 2009",Philippines,Murder
Ernie Rollin,Male,DXSY Radio,"February 23, 2009",Philippines,Murder
Erol Akgun,Male,Devrimci Cozum,"September 8, 1994",Turkey,Murder
Ersa Siregar,Male,Rajawali Citra Televisi,"December 29, 2003",Indonesia,Crossfire
Essam Abdullah,Male,Hawar News Agency,"November 20, 2022",Syria,Crossfire
Eudés Nshimiryo,Male,TV Rwanda,"April 7, 1994",Rwanda,Murder
Eustorgio Colmenares,Male,La Opinión,"March 12, 1993",Colombia,Murder
Evany José Metzker,Male,Coruja do Vale,"May 13, 14, 15, 16, 17, or 18, 2015",Brazil,Murder
Evariste Djailoramdji,Male,Lotiko Radio,"February 9, 2022",Chad,Dangerous Assignment
Fabien Fortuné Bitoumbo,Male,Radio Liberté,"August 29, 1998",Republic of Congo,Murder
Fabio Polenghi,Male,freelance,"May 19, 2010",Thailand,Dangerous Assignment
Facely Camara,Male,Liberté FM,"September 16, 2014",Guinea,Murder
Fadel al-Hadidi,Male,Mosul al-Youm; Sada al-Iraq,Unknown in 2015,Iraq,Murder
Fadel Shana,Male,Reuters,"April 16, 2008",Israel and the Occupied Palestinian Territory,Crossfire
Fadhil Hazem Fadhil,Male,Al-Hurriya,"April 14, 2005",Iraq,Crossfire
Fadila Nejma,Male,Echourouk,"June 14, 2001",Algeria,Dangerous Assignment
Faisal Arefin Dipan,Male,Jagriti Prokashoni,"October 31, 2015",Bangladesh,Murder
Faisal Qureshi,Male,The London Post,"October 7, 2011",Pakistan,Murder
Fakher Haider,Male,The New York Times,"September 19, 2005",Iraq,Murder
Falah Khalaf al-Diyali,Male,Al-Sa'a,"January 15, 2007",Iraq,Murder
Farag Fouda,Male,October,"June 8, 1992",Egypt,Murder
Farah Ziane,Male,Révolution Africaine,"October 20, 1994",Algeria,Murder
Fares Hamadi,Male,Eye on the Homeland,"October 30, 2015",Turkey,Murder
Farhad Taqaddosi,Male,Press TV,"September 20, 2011",Afghanistan,Crossfire
Farhan Jeemis Abdulle,Male,Radio Daljir and Simba Radio,"May 2, 2012",Somalia,Murder
Farkhad Kerimov,Male,Associated Press TV,"May 29, 1995",Russia,Crossfire
Fausto Gabriel Alcaraz Garay,Male,Radio Amambay,"May 16, 2014",Paraguay,Murder
Fazal Wahab,Male,freelance,"January 21, 2003",Pakistan,Murder
Federico Gempesaw,Male,Radyo Natin 106.3 FM CDO,"June 29, 2022",Philippines,Murder
Felix Solovyov,Male,freelance,"February 26, 1996",Russia,Murder
Feng Zhaoxia,Male,Gejie Daobao,"January 15, 2001",China,Murder
Ferdinand Reyes,Male,Press Freedom,"February 13, 1996",Philippines,Murder
Ferhat Cherkit,Male,El Moudjahid,"June 7, 1994",Algeria,Murder
Ferhat Tepe,Male,Ozgur Gundem,"July 28, 1993",Turkey,Murder
Fernando Batul,Male,DZRH and DYPR,"May 22, 2006",Philippines,Murder
Fernando Marcelino,Male,Jango,"October 20, 1992",Angola,Murder
Fernando Razon,Male,Periodico Ini,"November 23, 2009",Philippines,Murder
Fernando Solijon,Male,DxLS Love Radio,"August 29, 2013",Philippines,Murder
Ferzat Jarban,Male,Freelance,"November 19 or 20, 2011",Syria,Dangerous Assignment
"Fesshaye ""Joshua"" Yohannes",Male,Setit,on an unknown date (death disclosed February 2007),Eritrea,Dangerous Assignment
Fidaa al-Baali,Male,Orient News,"July 5, 2013",Syria,Crossfire
Fidel Ávila Gómez,Male,La Ke Buena,"Disappeared November 29, 2019; remains found January 7, 2020",Mexico,
Fidelis Ikwuebe,Male,Freelancer,"April 18, 1999",Nigeria,Murder
Filadelfo Sánchez Sarmiento,Male,La Favorita 103.3FM La Voz de la Sierra Sur,"July 2, 2015",Mexico,Murder
Filaih Wuday Mijthab,Male,Al-Sabah,"June 17, 2007",Iraq,Murder
Filolisho Khilvatshoev,Male,Payomi Dushanbe,"December, 1992",Tajikistan,Murder
Firas al-Baher,Male,Nineveh al-Ghad,"May 1, 2015",Iraq,Murder
Firas Maadidi,Male,As-Saffir and Al-Masar,"September 20, 2005",Iraq,Murder
Firas Mohammed Attiyah,Male,Fallujah TV,"January 20, 2014",Iraq,Dangerous Assignment
Flavio Bedoya,Male,Voz,"April 27, 2001",Colombia,Murder
Francis Nyaruri,Male,Weekly Citizen,January 2009,Kenya,Murder
Francis Tomasic,Male,freelance,"May 1, 1994",Bosnia,Crossfire
Francisco Arratia Saldierna,Male,freelance,"August 31, 2004",Mexico,Murder
Francisco Castro Menco,Male,Fundación Cultural,"November 8, 1997",Colombia,Murder
Francisco Gomes de Medeiros,Male,Radio Caicó,"October 18, 2010",Brazil,Murder
Francisco Javier Ortiz Franco,Male,Zeta,"June 22, 2004",Mexico,Murder
Francisco Parada,Male,Unknown,"January 1, 1993",El Salvador,Murder
Francisco Romero Díaz,Male,"Quintana Roo Hoy,Ocurrió Aquí,Quinta Fuerza","May 16, 2019",Mexico,Murder
Frantzsen Charles,Male,FS News Haiti,"September 11, 2022",Haiti,Murder
Freddy Elles Ahumada,Male,Freelancer,"March 18, 1997",Colombia,Murder
Frédéric Leclerc-Imhoff,Male,BFMTV,"May 30, 2022",Ukraine,Crossfire
Fredid Román Román,Male,"La Realidad,Vértice de Chilpancingo","August 22, 2022",Mexico,
Fredy Fernando López Arévalo,Male,Freelance,"October 28, 2021",Mexico,
Fuad Muhammad Syafruddin,Male,Bernas,"August 16, 1996",Indonesia,Murder
G. Raja Sekhar,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment
Gabriel Alburo,Male,DYJL FM 94.5 Like Radio,"December 28, 2018",Philippines,
Gabriel Cruz Díaz,Male,El Heraldo,"November 11, 1995",Colombia,Murder
Gabriel Gruener,Male,Stern,"June 13, 1999",Yugoslavia,Crossfire
Gadzhimurad Kamalov,Male,Chernovik,"December 15, 2011",Russia,Murder
Gautam Das,Male,Samakal,"November 17, 2005",Bangladesh,Murder
Gebran Tueni,Male,Al-Nahar,"December 12, 2005",Lebanon,Murder
Gelson Domingos da Silva,Male,Bandeirantes TV,"November 6, 2011",Brazil,Dangerous Assignment
Gene Boyd Lumawag,Male,MindaNews,"November 12, 2004",Philippines,Murder
Gennady Pavlyuk (Ibragim Rustambek),Male,Bely Parokhod,"December 22, 2009",Kazakhstan,Murder
Georg Friderich Pfuhl,Male,FADMST,"September 19, 1992",Bosnia,Crossfire
George Abanga,Male,"Success FM, Peace FM","September 10, 2015",Ghana,Murder
George Vigo,Male,Union of Catholic Asian News,"June 19, 2006",Philippines,Murder
Georges Wolinski,Male,Charlie Hebdo,"January 7, 2015",France,Murder
Georgy Chanya,Male,Resonants,"May 26, 1998",Georgia,Crossfire
Georgy Gongadze,Male,Ukrainska Pravda,"September 16, 2000",Ukraine,Murder
Georgy Sanaya,Male,Rustavi-2,"July 26, 2001",Georgia,Murder
Gerald Fischman,Male,Capital Gazette,"June 28, 2018",USA,Murder
Gerardo Antonio Moreno Aranda,Male,Breitbart News,"October 4, 2021",Mexico,
Gerardo Bedoya Borrero,Male,El País,"March 20, 1997",Colombia,Murder
Gerardo Ceferino Servían,Male,Ciudad Nueva FM,"March 5, 2015",Brazil,Murder
Gerardo Delgado Olmedo,Male,Ola Manta TV,"August 10, 2022",Ecuador,
Gerardo Ortega,Male,DWAR,"January 24, 2011",Philippines,Murder
Germain Cyrille Ngota Ngota,Male,Cameroon Express,"April 22, 2010",Cameroon,Dangerous Assignment
Germain Kennedy Mumbere Muliwavyo,Male,Radio Télévision Muungano,"February 16, 2014",Democratic Republic of the Congo,Crossfire
German Vallecillo Jr.,Male,Canal 45TV,"July 1, 2020",Honduras,Murder
Ghaith Abd al-Jawad,Male,Qaboun Media Center,"March 10, 2013",Syria,Crossfire
Gharib Mohamed Salih,Male,Kurdistan TV,"February 1, 2004",Iraq,Crossfire
Ghazi Rasooli,Male,1TV,"April 30, 2018",Afghanistan,Murder
Ghulam Muhammad Lone,Male,Freelancer,"August 29, 1994",India,Murder
Ghulam Rasool,Male,Online International News Network,"August 28, 2014",Pakistan,Murder
Ghulam Rasool Birhamani,Male,Daily Sindhu Hyderabad,"May 9 or 10, 2010",Pakistan,Murder
Ghulam Rasool Sheikh,Male,Rehnuma-e-Kashmir and Saffron Times,"April 10, 1996",India,Murder
