name,gender,organization,date,location,type_of_death,attack,role,region,year
Bhola Nath Masoom,Male,Hind Samachar,"January 31, 1993",India,Murder,Killed,Journalist,All other countries,1993.0
Bienvenido Legarte Jr.,Male,Prontiera News,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009.0
Bienvenido Lemos,Male,Caracol Radio,"September 30, 1993",Colombia,Murder,Killed,Journalist,All other countries,1993.0
Bilal Ahmed Bilal,Male,Palestine Today TV,Unknown in 2014,Syria,Dangerous Assignment,Killed,Journalist,Middle East,
Bilal Jadallah,Male,Press House-Palestine,"November 19, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023.0
Bilal Sharaf al-Deen,Male,Al-Masirah TV,"September 17, 2015",Yemen,Crossfire,Killed,Journalist,Middle East,2015.0
Birendra Shah,Male,"Nepal FM, Dristi Weekly, and Avenues TV","October 4, 2007",Nepal,Murder,Killed,Journalist,All other countries,2007.0
Bismillah Adel Aimaq,Male,Radio Sada-e-Ghor,"January 1, 2021",Afghanistan,Motive Unconfirmed,Killed,Journalist,All other countries,2021.0
Bladimir Antuna García,Male,El Tiempo de Durango,"November 2, 2009",Mexico,Murder,Killed,Journalist,All other countries,2009.0
Bohdan Bitik,Male,Unknown,"April 26, 2023",Ukraine,Crossfire,Killed,Journalist,All other countries,2023.0
Bonifacio Gregorio,Male,Dyaryo Banat,"July 8, 2003",Philippines,Murder,Killed,Journalist,All other countries,2003.0
Borhan Uddin Muzakkir,Male,"Barta Bazar,Bangladesh Samachar","February 20, 2021",Bangladesh,Dangerous Assignment,Killed,Journalist,All other countries,2021.0
Borys Derevyanko,Male,Vechernyaya Odessa,"August 11, 1997",Ukraine,Murder,Killed,Journalist,All other countries,1997.0
Boutros Martin,Male,South Sudan Television,"January 25, 2015",South Sudan,Murder,Killed,Journalist,All other countries,2015.0
Bradley Will,Male,Freelancer,"October 27, 2006",Mexico,Dangerous Assignment,Killed,Journalist,All other countries,2006.0
Brahim Guaraoui,Male,El-Moudjahid,"September 4, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995.0
Brent Renaud,Male,Time,"March 13, 2022",Ukraine,Crossfire,Killed,Journalist,All other countries,2022.0
Brian Brinton,Male,Freelancer,"May 1, 1994",Bosnia,Crossfire,Killed,Journalist,All other countries,1994.0
Brian Smith,Male,CJOH-TV,"August 1, 1995",Canada,Murder,Killed,Journalist,All other countries,1995.0
Brignol Lindor,Male,Radio Echo 2000,"December 3, 2001",Haiti,Murder,Killed,Journalist,All other countries,2001.0
Bryan Guerra,Male,Noticias TLCOM,"March 5, 2020",Guatemala,Motive Unconfirmed,Killed,Journalist,All other countries,2020.0
Buenaventura Calderón,Male,Kupia Kumi,"November 1, 2019",Honduras,Motive Unconfirmed,Killed,Journalist,All other countries,2019.0
Burhan Mohamed Mazhour,Male,ABC,"March 26, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004.0
Byron Baldeón,Male,Freelancer,"July 1, 2012",Ecuador,Murder,Killed,Journalist,All other countries,2012.0
Calvin Thusago,Male,South African Broadcasting Corporation (SABC),"April 23, 1993",South Africa,Murder,Killed,Journalist,All other countries,1993.0
Candelario Cayona,Male,Radio DXLL,"May 30, 2001",Philippines,Murder,Killed,Journalist,All other countries,2001.0
Cándido Ríos Vázquez,Male,La Voz de Hueyapán,"August 22, 2017",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2017.0
Carlos Alberto Guajardo Romero,Male,Expreso Matamoros,"November 5, 2010",Mexico,Dangerous Assignment,Killed,Journalist,All other countries,2010.0
Carlos Cardoso,Male,Metical,"November 22, 2000",Mozambique,Murder,Killed,Journalist,All other countries,2000.0
Carlos Domínguez Rodríguez,Male,Freelancer,"January 13, 2018",Mexico,Murder,Killed,Journalist,All other countries,2018.0
Carlos Grant,Male,El Tiempo,"April 26, 1993",Honduras,Murder,Killed,Journalist,All other countries,1993.0
Carlos José Guadamuz,Male,Canal 23,"February 10, 2004",Nicaragua,Murder,Killed,Journalist,All other countries,2004.0
Carlos Lajud Catalan,Male,ABC Radio,"April 19, 1993",Colombia,Murder,Killed,Journalist,All other countries,1993.0
Carlos Oveniel Lara Domínguez,Male,Canal 12 Telemaya,"October 23, 2017",Honduras,Motive Unconfirmed,Killed,Journalist,All other countries,2017.0
Carlos Quispe Quispe,Male,Radio Municipal,"March 29, 2008",Bolivia,Murder,Killed,Journalist,All other countries,2008.0
Carlos Salgado,Male,Radio Cadena Voces,"October 18, 2007",Honduras,Murder,Killed,Journalist,All other countries,2007.0
Carlos William Flores,Male,Canal 22,"September 13, 2017",Honduras,Motive Unconfirmed,Killed,Journalist,All other countries,2017.0
Carsten Thomassen,Male,Dagbladet,"January 15, 2008",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2008.0
Cecilio Pineda Birto,Male,Freelancer,"March 2, 2017",Mexico,Murder,Killed,Journalist,All other countries,2017.0
Cengiz Altun,Male,Yeni Ülke,"February 24, 1992",Turkey,Murder,Killed,Journalist,Middle East,1992.0
Cetin Abayay,Male,Ozgur Halk,"July 29, 1992",Turkey,Murder,Killed,Journalist,Middle East,1992.0
Chalee Boonsawat,Male,Thai Rath,"August 21, 2008",Thailand,Dangerous Assignment,Killed,Journalist,All other countries,2008.0
Chan Dara,Male,Koh Santepheap,"December 8, 1994",Cambodia,Murder,Killed,Journalist,All other countries,1994.0
Chandan Tiwari,Male,Aj Newspaper,"October 30, 2018",India,Murder,Killed,Journalist,All other countries,2018.0
Charles Bideri-Munyangabe,Male,Le Messager,"April 11, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994.0
Charles Karinganire,Male,Le Flambeau,"April 24, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994.0
Chauncey Bailey,Male,Oakland Post,"August 2, 2007",USA,Murder,Killed,Journalist,All other countries,2007.0
Chennakeshavalu,Male,EV5,"August 8, 2021",India,Murder,Killed,Journalist,All other countries,2021.0
Chet Duong Daravuth,Male,Neak Prayuth,"March 30, 1997",Cambodia,Dangerous Assignment,Killed,Journalist,All other countries,1997.0
Chief Ebrima Manneh,Male,Daily Observer,Unknown,Gambia,Motive Unconfirmed,Killed,Journalist,All other countries,
Chingiz Fuad-ogly Mustafayev,Male,DR-Press,"June 15, 1992",Azerbaijan,Crossfire,Killed,Journalist,All other countries,1992.0
Chishti Mujahid,Male,Akbar-e-Jehan,"February 9, 2008",Pakistan,Murder,Killed,Journalist,All other countries,2008.0
Chou Chetharith,Male,Ta Prum,"October 18, 2003",Cambodia,Murder,Killed,Journalist,All other countries,2003.0
Chris Hondros,Male,Getty Images,"April 20, 2011",Libya,Crossfire,Killed,Journalist,All other countries,2011.0
Christian Gregorio Poveda Ruiz,Male,Freelancer,"September 2, 2009",El Salvador,Murder,Killed,Journalist,All other countries,2009.0
Christian Liebig,Male,Focus,"April 7, 2003",Iraq,Crossfire,Killed,Journalist,Middle East,2003.0
Christian Struwe,Male,Freelancer,"October 7, 2006",Afghanistan,Murder,Killed,Journalist,All other countries,2006.0
Christoff Griffith,Male,The Nation,"June 22, 2020",Barbados,Dangerous Assignment,Killed,Journalist,All other countries,2020.0
Christopher Allen,Male,Freelancer,"August 26, 2017",South Sudan,Crossfire,Killed,Journalist,All other countries,2017.0
Christopher Guarin,Male,Radyo Mo Nationwide and Tatak News,"January 5, 2012",Philippines,Murder,Killed,Journalist,All other countries,2012.0
Christopher Iban Lozada,Male,DBXF Prime Broadcasting Network,"October 24, 2017",Philippines,Murder,Killed,Journalist,All other countries,2017.0
Cihan Hayırsevener,Male,Güney Marmara’da Yaşam,"December 19, 2009",Turkey,Murder,Killed,Journalist,Middle East,2009.0
Claude Verlon,Male,Radio France Internationale,"November 2, 2013",Mali,Murder,Killed,Journalist,All other countries,2013.0
Clodomiro Castilla Ospino,Male,El Pulso del Tiempo,"March 19, 2010",Colombia,Murder,Killed,Journalist,All other countries,2010.0
Conrad Roy,Male,Expo Times,"April 30, 1999",Sierra Leone,Dangerous Assignment,Killed,Journalist,All other countries,1999.0
Cris Bundoquin,Male,DWXR 101.7 Kalahi FM; MUX Online Radio,"May 31, 2023",Philippines,Murder,Killed,Journalist,All other countries,2023.0
Crispin Perez,Male,DWDO Radio,"June 9, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009.0
Daif al-Gahzal al-Shuhaibi,Male,Freelancer,"June 2, 2005",Libya,Murder,Killed,Journalist,All other countries,2005.0
Dan Eldon,Male,Reuters,"July 12, 1993",Somalia,Murder,Killed,Journalist,All other countries,1993.0
Daniel Pearl,Male,The Wall Street Journal,"Between January 23 and February 21, 2002",Pakistan,Murder,Killed,Journalist,All other countries,2002.0
Danilo López,Male,Prensa Libre,"March 10, 2015",Guatemala,Murder,Killed,Journalist,All other countries,2015.0
Danilo Vergara,Male,Philippine Post,"July 1, 1992",Philippines,Murder,Killed,Journalist,All other countries,1992.0
Danish Siddiqui,Male,Reuters,"July 16, 2021",Afghanistan,Crossfire,Killed,Journalist,All other countries,2021.0
Danny Hernandez,Male,People's Journal Tonight,"June 3, 1997",Philippines,Murder,Killed,Journalist,All other countries,1997.0
Dario D'Angelo,Male,RAI-TV,"January 28, 1994",Bosnia,Crossfire,Killed,Journalist,All other countries,1994.0
Darío Fernández Jaén,Male,Radio Mi Favorita,"November 6, 2011",Panama,Murder,Killed,Journalist,All other countries,2011.0
Daud Ali Omar,Male,Radio Baidoa,"April 29, 2015",Somalia,Murder,Killed,Journalist,All other countries,2015.0
Daudi Mwangosi,Male,Channel Ten,"September 2, 2012",Tanzania,Dangerous Assignment,Killed,Journalist,All other countries,2012.0
David Beriain,Male,93 Metros,"April 26 - 27, 2021",Burkina Faso,Murder,Killed,Journalist,All other countries,2021.0
David Bolkvadze,Male,Worldwide Television News,"October 28, 1993",Georgia,Crossfire,Killed,Journalist,All other countries,1993.0
David Gilkey,Male,National Public Radio,"June 5, 2016",Afghanistan,Crossfire,Killed,Journalist,All other countries,2016.0
David Kaplan,Male,ABC News,"August 13, 1992",Bosnia,Crossfire,Killed,Journalist,All other countries,1992.0
David Meza Montesinos,Male,"Radio El Patio, Radio America, Channel 45","March 11, 2010",Honduras,Murder,Killed,Journalist,All other countries,2010.0
Dawit Kebede Araya,Male,Tigray TV,"January 19, 2021",Ethiopia,Motive Unconfirmed,Killed,Journalist,All other countries,2021.0
Décio Sá,Male,O Estado do Maranhão and Blog do Décio,"April 23, 2012",Brazil,Murder,Killed,Journalist,All other countries,2012.0
Dekendra Raj Thapa,Male,Radio Nepal,"August 11, 2004",Nepal,Murder,Killed,Journalist,All other countries,2004.0
Dennis Cuesta,Male,DXMD,"August 9, 2008",Philippines,Murder,Killed,Journalist,All other countries,2008.0
Dennis Denora,Male,Trends and Times,"June 7, 2018",Philippines,Murder,Killed,Journalist,All other countries,2018.0
Desidario Camangyan,Male,Sunrise FM,"June 14, 2010",Philippines,Murder,Killed,Journalist,All other countries,2010.0
Deyda Hydara,Male,The Point,"December 16, 2004",Gambia,Murder,Killed,Journalist,All other countries,2004.0
Dhan Bahadur Rokka Magar,Male,Radio Nepal,"January 30, 2003",Nepal,Murder,Killed,Journalist,All other countries,2003.0
Dharmeratnam Sivaram,Male,TamilNet and Daily Mirror,"April 29, 2005",Sri Lanka,Murder,Killed,Journalist,All other countries,2005.0
Dhia Najim,Male,Freelancer,"November 1, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004.0
Diego Charles,Male,"Radio Vision 2000,Gazette Haïti,Larepiblik Magazine","June 29, 2021",Haiti,Motive Unconfirmed,Killed,Journalist,All other countries,2021.0
Dina Mohammed Hassan,Male,Al-Hurriya,"October 14, 2004",Iraq,Murder,Killed,Journalist,Middle East,2004.0
Dindo Generoso,Male,DyEM 96.7 FM Bai Radio,"November 7, 2019",Philippines,Murder,Killed,Journalist,All other countries,2019.0
Dinesh Pathak,Male,Sandesh,"May 22, 1993",India,Murder,Killed,Journalist,All other countries,1993.0
Djalma Santos da Conceição,Male,RCA FM,"May 22 or 23, 2015",Brazil,Murder,Killed,Journalist,All other countries,2015.0
Djamel Bouhidel,Male,Nouveau Tell,"October 5, 1993",Algeria,Murder,Killed,Journalist,All other countries,1993.0
Djamel Derraz,Male,Le Soir d'Algérie,"February 11, 1996",Algeria,Murder,Killed,Journalist,All other countries,1996.0
Djamel Ziater,Male,El-Djoumhouria,"February 17, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995.0
Djilali Arabidou,Male,Algérie-Actualité,"March 12, 1996",Algeria,Murder,Killed,Journalist,All other countries,1996.0
Dmitry Chebotayev,Male,Freelancer,"May 6, 2007",Iraq,Crossfire,Killed,Journalist,Middle East,2007.0
Dmitry Kholodov,Male,Moskovsky Komsomolets,"October 17, 1994",Russia,Murder,Killed,Journalist,All other countries,1994.0
Dmitry Krikoryants,Male,Expresskhronika,"April 14, 1993",Russia,Murder,Killed,Journalist,All other countries,1993.0
Dmitry Popkov,Male,Ton-M,"May 24, 2017",Russia,Murder,Killed,Journalist,All other countries,2017.0
Dmitry Zavadsky,Male,ORT,"November 28, 2003",Belarus,Murder,Killed,Journalist,All other countries,2003.0
Dom Phillips,Male,Freelancer,"June 5, 2022",Brazil,Murder,Killed,Journalist,All other countries,2022.0
Domingos Sávio Brandão Lima Júnior,Male,Folha do Estado,"September 30, 2002",Brazil,Murder,Killed,Journalist,All other countries,2002.0
Dominique Lonneux,Male,Freelancer,"June 2, 1993",Bosnia,Crossfire,Killed,Journalist,All other countries,1993.0
Dona St. Plite,Male,"WKAT, Miami","October 24, 1993",USA,Murder,Killed,Journalist,All other countries,1993.0
Dumesky Kersaint,Male,Radio-Télé INUREP,"April 16, 2023",Haiti,Murder,Killed,Journalist,All other countries,2023.0
Duraid Isa Mohammed,Male,CNN,"January 27, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004.0
Dusko Jovanovic,Male,Dan,"May 28, 2004",Montenegro,Murder,Killed,Journalist,All other countries,2004.0
Dwijamani Singh,Male,Prime News,"December 23, 2012",India,Dangerous Assignment,Killed,Journalist,All other countries,2012.0
Dylan Lyons,Male,Spectrum News 13,"February 22, 2023",USA,Dangerous Assignment,Killed,Journalist,All other countries,2023.0
Ebrahim Zalzadeh,Male,Mayar,"February 22, 1997",Iran,Murder,Killed,Journalist,Middle East,1997.0
Edgar Alberto Nava López,Male,La Verdad de Zihuatanejo,"August 2, 2019",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2019.0
Edgar Damalerio,Male,Zamboanga Scribe and DXKP Radio,"May 13, 2002",Philippines,Murder,Killed,Journalist,All other countries,2002.0
Edgar Daniel Esqueda Castro,Male,Freelancer,"October 5- 6, 2017",Mexico,Murder,Killed,Journalist,All other countries,2017.0
Edgar Joel Aguilar,Male,"Cablemar TV,Channel 6","August 31, 2019",Honduras,Motive Unconfirmed,Killed,Journalist,All other countries,2019.0
Edgar Lopes de Faria,Male,FM Capital,"October 29, 1997",Brazil,Murder,Killed,Journalist,All other countries,1997.0
Edgar Pantaleón Fernández Fleitas,Male,Belén Comunicaciones,"June 19, 2014",Paraguay,Murder,Killed,Journalist,All other countries,2014.0
Edinaldo Filgueira,Male,Jornal o Serrano,"June 15, 2011",Brazil,Murder,Killed,Journalist,All other countries,2011.0
Édison Alberto Molina,Male,Puerto Berrío Stereo,"September 11, 2013",Colombia,Murder,Killed,Journalist,All other countries,2013.0
Edmund Sestoso,Male,DYGB-FM,"May 1, 2018",Philippines,Motive Unconfirmed,Killed,Journalist,All other countries,2018.0
Eduard Markevich,Male,Novy Reft,"September 18, 2001",Russia,Murder,Killed,Journalist,All other countries,2001.0
Eduardo Carvalho,Male,Última Hora News,"November 21, 2012",Brazil,Murder,Killed,Journalist,All other countries,2012.0
Eduardo Dizon,Male,Brigada News FM,"July 10, 2019",Philippines,Murder,Killed,Journalist,All other countries,2019.0
Eduardo González,Male,F.M. Costanera del Sur,"March 12, 2017",Paraguay,Motive Unconfirmed,Killed,Journalist,All other countries,2017.0
Edward Chikomba,Male,Zimbabwe Broadcasting Corporation (former),"March 31, 2007",Zimbabwe,Murder,Killed,Journalist,All other countries,2007.0
Edward Smith,Male,BBC,"April 13, 1998",Sierra Leone,Crossfire,Killed,Journalist,All other countries,1998.0
Edwin Rivera Paz,Male,Freelancer,"July 9, 2017",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2017.0
Efraín Varela Noriega,Male,Radio Meridiano-70,"June 28, 2002",Colombia,Murder,Killed,Journalist,All other countries,2002.0
Ejaz Raisani,Male,Samaa TV,"September 6, 2010",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2010.0
Ejazul Haq,Male,City-42 TV,"May 28, 2010",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2010.0
El-Hadj Mohamed Diallo,Male,"Guinée7, Afrik","February 5, 2016",Guinea,Dangerous Assignment,Killed,Journalist,All other countries,2016.0
Eldy Sablas (aka Eldy Gabinales),Male,Radio DXJR-FM,"October 19, 2004",Philippines,Murder,Killed,Journalist,All other countries,2004.0
Elidio Ramos Zárate,Male,El Sur,"June 19, 2016",Mexico,Murder,Killed,Journalist,All other countries,2016.0
Eliseo Barrón Hernández,Male,La Opinión,"May 25, 2009",Mexico,Murder,Killed,Journalist,All other countries,2009.0
Elmar Huseynov,Male,Monitor,"March 2, 2005",Azerbaijan,Murder,Killed,Journalist,All other countries,2005.0
Elpidio Binoya,Male,Radyo Natin,"June 17, 2004",Philippines,Murder,Killed,Journalist,All other countries,2004.0
Elpidio Inacio,Male,Televisao Popular de Angola,"August 23, 1993",Angola,Crossfire,Killed,Journalist,All other countries,1993.0
Elyas Dayee,Male,Radio Free Europe/Radio Liberty,"November 12, 2020",Afghanistan,Murder,Killed,Journalist,All other countries,2020.0
Emmanuel-Damien Rukondo,Male,Rubyiruko-Rubanda,"April 24, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994.0
Enenche Akogwu,Male,Channels TV,"January 20, 2012",Nigeria,Murder,Killed,Journalist,All other countries,2012.0
Enzo Baldoni,Male,Freelancer,"August 26, 2004",Iraq,Murder,Killed,Journalist,Middle East,2004.0
Ernesto Acero Cadena,Male,Informador Socioeconómico,"December 12, 1995",Colombia,Murder,Killed,Journalist,All other countries,1995.0
Ernesto Maravilla,Male,Bombo Radyo,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009.0
Ernie Rollin,Male,DXSY Radio,"February 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009.0
Erol Akgun,Male,Devrimci Cozum,"September 8, 1994",Turkey,Murder,Killed,Journalist,Middle East,1994.0
Ersa Siregar,Male,Rajawali Citra Televisi,"December 29, 2003",Indonesia,Crossfire,Killed,Journalist,All other countries,2003.0
Essam Abdullah,Male,Hawar News Agency,"November 20, 2022",Syria,Crossfire,Killed,Journalist,Middle East,2022.0
Eudés Nshimiryo,Male,TV Rwanda,"April 7, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994.0
Eustorgio Colmenares,Male,La Opinión,"March 12, 1993",Colombia,Murder,Killed,Journalist,All other countries,1993.0
Evany José Metzker,Male,Coruja do Vale,"May 13, 14, 15, 16, 17, or 18, 2015",Brazil,Murder,Killed,Journalist,All other countries,2015.0
Evariste Djailoramdji,Male,Lotiko Radio,"February 9, 2022",Chad,Dangerous Assignment,Killed,Journalist,All other countries,2022.0
Fabien Fortuné Bitoumbo,Male,Radio Liberté,"August 29, 1998",Republic of Congo,Murder,Killed,Journalist,All other countries,1998.0
Fabio Polenghi,Male,Freelancer,"May 19, 2010",Thailand,Dangerous Assignment,Killed,Journalist,All other countries,2010.0
Facely Camara,Male,Liberté FM,"September 16, 2014",Guinea,Murder,Killed,Journalist,All other countries,2014.0
Fadel al-Hadidi,Male,Mosul al-Youm; Sada al-Iraq,Unknown in 2015,Iraq,Murder,Killed,Journalist,Middle East,
Fadel Shana,Male,Reuters,"April 16, 2008",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,Middle East,2008.0
Fadhil Hazem Fadhil,Male,Al-Hurriya,"April 14, 2005",Iraq,Crossfire,Killed,Journalist,Middle East,2005.0
Fadila Nejma,Male,Echourouk,"June 14, 2001",Algeria,Dangerous Assignment,Killed,Journalist,All other countries,2001.0
Faisal Arefin Dipan,Male,Jagriti Prokashoni,"October 31, 2015",Bangladesh,Murder,Killed,Journalist,All other countries,2015.0
Faisal Qureshi,Male,The London Post,"October 7, 2011",Pakistan,Murder,Killed,Journalist,All other countries,2011.0
Fakher Haider,Male,The New York Times,"September 19, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005.0
Falah Khalaf al-Diyali,Male,Al-Sa'a,"January 15, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007.0
Farag Fouda,Male,October,"June 8, 1992",Egypt,Murder,Killed,Journalist,Middle East,1992.0
Farah Ziane,Male,Révolution Africaine,"October 20, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994.0
Fares Hamadi,Male,Eye on the Homeland,"October 30, 2015",Turkey,Murder,Killed,Journalist,Middle East,2015.0
Farhad Taqaddosi,Male,Press TV,"September 20, 2011",Afghanistan,Crossfire,Killed,Journalist,All other countries,2011.0
Farhan Jeemis Abdulle,Male,Radio Daljir and Simba Radio,"May 2, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012.0
Farkhad Kerimov,Male,Associated Press TV,"May 29, 1995",Russia,Crossfire,Killed,Journalist,All other countries,1995.0
Fausto Gabriel Alcaraz Garay,Male,Radio Amambay,"May 16, 2014",Paraguay,Murder,Killed,Journalist,All other countries,2014.0
Fazal Wahab,Male,Freelancer,"January 21, 2003",Pakistan,Murder,Killed,Journalist,All other countries,2003.0
Federico Gempesaw,Male,Radyo Natin 106.3 FM CDO,"June 29, 2022",Philippines,Murder,Killed,Journalist,All other countries,2022.0
Felix Solovyov,Male,Freelancer,"February 26, 1996",Russia,Murder,Killed,Journalist,All other countries,1996.0
Feng Zhaoxia,Male,Gejie Daobao,"January 15, 2001",China,Murder,Killed,Journalist,All other countries,2001.0
Ferdinand Reyes,Male,Press Freedom,"February 13, 1996",Philippines,Murder,Killed,Journalist,All other countries,1996.0
Ferhat Cherkit,Male,El Moudjahid,"June 7, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994.0
Ferhat Tepe,Male,Ozgur Gundem,"July 28, 1993",Turkey,Murder,Killed,Journalist,Middle East,1993.0
Fernando Batul,Male,DZRH and DYPR,"May 22, 2006",Philippines,Murder,Killed,Journalist,All other countries,2006.0
Fernando Marcelino,Male,Jango,"October 20, 1992",Angola,Murder,Killed,Journalist,All other countries,1992.0
Fernando Razon,Male,Periodico Ini,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009.0
Fernando Solijon,Male,DxLS Love Radio,"August 29, 2013",Philippines,Murder,Killed,Journalist,All other countries,2013.0
Ferzat Jarban,Male,Freelancer,"November 19 or 20, 2011",Syria,Dangerous Assignment,Killed,Journalist,Middle East,2011.0
"Fesshaye ""Joshua"" Yohannes",Male,Setit,on an unknown date (death disclosed February 2007),Eritrea,Dangerous Assignment,Killed,Journalist,All other countries,
Fidaa al-Baali,Male,Orient News,"July 5, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013.0
Fidel Ávila Gómez,Male,La Ke Buena,"Disappeared November 29, 2019; remains found January 7, 2020",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2019.0
Fidelis Ikwuebe,Male,Freelancer,"April 18, 1999",Nigeria,Murder,Killed,Journalist,All other countries,1999.0
Filadelfo Sánchez Sarmiento,Male,La Favorita 103.3FM La Voz de la Sierra Sur,"July 2, 2015",Mexico,Murder,Killed,Journalist,All other countries,2015.0
Filaih Wuday Mijthab,Male,Al-Sabah,"June 17, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007.0
Filolisho Khilvatshoev,Male,Payomi Dushanbe,"December, 1992",Tajikistan,Murder,Killed,Journalist,All other countries,1992.0
Firas al-Baher,Male,Nineveh al-Ghad,"May 1, 2015",Iraq,Murder,Killed,Journalist,Middle East,2015.0
Firas Maadidi,Male,As-Saffir and Al-Masar,"September 20, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005.0
Firas Mohammed Attiyah,Male,Fallujah TV,"January 20, 2014",Iraq,Dangerous Assignment,Killed,Journalist,Middle East,2014.0
Flavio Bedoya,Male,Voz,"April 27, 2001",Colombia,Murder,Killed,Journalist,All other countries,2001.0
Francis Nyaruri,Male,Weekly Citizen,January 2009,Kenya,Murder,Killed,Journalist,All other countries,
Francis Tomasic,Male,Freelancer,"May 1, 1994",Bosnia,Crossfire,Killed,Journalist,All other countries,1994.0
Francisco Arratia Saldierna,Male,Freelancer,"August 31, 2004",Mexico,Murder,Killed,Journalist,All other countries,2004.0
Francisco Castro Menco,Male,Fundación Cultural,"November 8, 1997",Colombia,Murder,Killed,Journalist,All other countries,1997.0
Francisco Gomes de Medeiros,Male,Radio Caicó,"October 18, 2010",Brazil,Murder,Killed,Journalist,All other countries,2010.0
Francisco Javier Ortiz Franco,Male,Zeta,"June 22, 2004",Mexico,Murder,Killed,Journalist,All other countries,2004.0
Francisco Parada,Male,Unknown,"January 1, 1993",El Salvador,Murder,Killed,Journalist,All other countries,1993.0
Francisco Romero Díaz,Male,"Quintana Roo Hoy,Ocurrió Aquí,Quinta Fuerza","May 16, 2019",Mexico,Murder,Killed,Journalist,All other countries,2019.0
Frantzsen Charles,Male,FS News Haiti,"September 11, 2022",Haiti,Murder,Killed,Journalist,All other countries,2022.0
Freddy Elles Ahumada,Male,Freelancer,"March 18, 1997",Colombia,Murder,Killed,Journalist,All other countries,1997.0
Frédéric Leclerc-Imhoff,Male,BFMTV,"May 30, 2022",Ukraine,Crossfire,Killed,Journalist,All other countries,2022.0
Fredid Román Román,Male,"La Realidad,Vértice de Chilpancingo","August 22, 2022",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2022.0
Fredy Fernando López Arévalo,Male,Freelancer,"October 28, 2021",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2021.0
Fuad Muhammad Syafruddin,Male,Bernas,"August 16, 1996",Indonesia,Murder,Killed,Journalist,All other countries,1996.0
G. Raja Sekhar,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment,Killed,Journalist,All other countries,1997.0
Gabriel Alburo,Male,DYJL FM 94.5 Like Radio,"December 28, 2018",Philippines,Motive Unconfirmed,Killed,Journalist,All other countries,2018.0
Gabriel Cruz Díaz,Male,El Heraldo,"November 11, 1995",Colombia,Murder,Killed,Journalist,All other countries,1995.0
Gabriel Gruener,Male,Stern,"June 13, 1999",Yugoslavia,Crossfire,Killed,Journalist,All other countries,1999.0
Gadzhimurad Kamalov,Male,Chernovik,"December 15, 2011",Russia,Murder,Killed,Journalist,All other countries,2011.0
Gautam Das,Male,Samakal,"November 17, 2005",Bangladesh,Murder,Killed,Journalist,All other countries,2005.0
Gebran Tueni,Male,Al-Nahar,"December 12, 2005",Lebanon,Murder,Killed,Journalist,Middle East,2005.0
Gelson Domingos da Silva,Male,Bandeirantes TV,"November 6, 2011",Brazil,Dangerous Assignment,Killed,Journalist,All other countries,2011.0
Gene Boyd Lumawag,Male,MindaNews,"November 12, 2004",Philippines,Murder,Killed,Journalist,All other countries,2004.0
Gennady Pavlyuk (Ibragim Rustambek),Male,Bely Parokhod,"December 22, 2009",Kazakhstan,Murder,Killed,Journalist,All other countries,2009.0
Georg Friderich Pfuhl,Male,FADMST,"September 19, 1992",Bosnia,Crossfire,Killed,Journalist,All other countries,1992.0
George Abanga,Male,"Success FM, Peace FM","September 10, 2015",Ghana,Murder,Killed,Journalist,All other countries,2015.0
