name,gender,organization,date,location,type_of_death,attack,role,region,year
Danny Hernandez,Male,People's Journal Tonight,"June 3, 1997",Philippines,Murder,Killed,Journalist,,1997
Dario D'Angelo,Male,RAI-TV,"January 28, 1994",Bosnia,Crossfire,Killed,Journalist,,1994
Darío Fernández Jaén,Male,Radio Mi Favorita,"November 6, 2011",Panama,Murder,Killed,Journalist,,2011
Daud Ali Omar,Male,Radio Baidoa,"April 29, 2015",Somalia,Murder,Killed,Journalist,,2015
Daudi Mwangosi,Male,Channel Ten,"September 2, 2012",Tanzania,Dangerous Assignment,Killed,Journalist,,2012
David Beriain,Male,93 Metros,"April 26 - 27, 2021",Burkina Faso,Murder,Killed,Journalist,,2021
David Bolkvadze,Male,Worldwide Television News,"October 28, 1993",Georgia,Crossfire,Killed,Journalist,,1993
David Gilkey,Male,National Public Radio,"June 5, 2016",Afghanistan,Crossfire,Killed,Journalist,,2016
David Kaplan,Male,ABC News,"August 13, 1992",Bosnia,Crossfire,Killed,Journalist,,1992
David Meza Montesinos,Male,"Radio El Patio, Radio America, Channel 45","March 11, 2010",Honduras,Murder,Killed,Journalist,,2010
Dawit Kebede Araya,Male,Tigray TV,"January 19, 2021",Ethiopia,Motive Unconfirmed,Killed,Journalist,,2021
Décio Sá,Male,O Estado do Maranhão and Blog do Décio,"April 23, 2012",Brazil,Murder,Killed,Journalist,,2012
Dekendra Raj Thapa,Male,Radio Nepal,"August 11, 2004",Nepal,Murder,Killed,Journalist,,2004
Dennis Cuesta,Male,DXMD,"August 9, 2008",Philippines,Murder,Killed,Journalist,,2008
Dennis Denora,Male,Trends and Times,"June 7, 2018",Philippines,Murder,Killed,Journalist,,2018
Desidario Camangyan,Male,Sunrise FM,"June 14, 2010",Philippines,Murder,Killed,Journalist,,2010
Deyda Hydara,Male,The Point,"December 16, 2004",Gambia,Murder,Killed,Journalist,,2004
Dhan Bahadur Rokka Magar,Male,Radio Nepal,"January 30, 2003",Nepal,Murder,Killed,Journalist,,2003
Dharmeratnam Sivaram,Male,TamilNet and Daily Mirror,"April 29, 2005",Sri Lanka,Murder,Killed,Journalist,,2005
Dhia Najim,Male,Freelancer,"November 1, 2004",Iraq,Crossfire,Killed,Journalist,,2004
Diego Charles,Male,"Radio Vision 2000,Gazette Haïti,Larepiblik Magazine","June 29, 2021",Haiti,Motive Unconfirmed,Killed,Journalist,,2021
Dina Mohammed Hassan,Male,Al-Hurriya,"October 14, 2004",Iraq,Murder,Killed,Journalist,,2004
Dindo Generoso,Male,DyEM 96.7 FM Bai Radio,"November 7, 2019",Philippines,Murder,Killed,Journalist,,2019
Dinesh Pathak,Male,Sandesh,"May 22, 1993",India,Murder,Killed,Journalist,,1993
Djalma Santos da Conceição,Male,RCA FM,"May 22 or 23, 2015",Brazil,Murder,Killed,Journalist,,2015
Djamel Bouhidel,Male,Nouveau Tell,"October 5, 1993",Algeria,Murder,Killed,Journalist,,1993
Djamel Derraz,Male,Le Soir d'Algérie,"February 11, 1996",Algeria,Murder,Killed,Journalist,,1996
Djamel Ziater,Male,El-Djoumhouria,"February 17, 1995",Algeria,Murder,Killed,Journalist,,1995
Djilali Arabidou,Male,Algérie-Actualité,"March 12, 1996",Algeria,Murder,Killed,Journalist,,1996
Dmitry Chebotayev,Male,Freelancer,"May 6, 2007",Iraq,Crossfire,Killed,Journalist,,2007
Dmitry Kholodov,Male,Moskovsky Komsomolets,"October 17, 1994",Russia,Murder,Killed,Journalist,,1994
Dmitry Krikoryants,Male,Expresskhronika,"April 14, 1993",Russia,Murder,Killed,Journalist,,1993
Dmitry Popkov,Male,Ton-M,"May 24, 2017",Russia,Murder,Killed,Journalist,,2017
Dmitry Zavadsky,Male,ORT,"November 28, 2003",Belarus,Murder,Killed,Journalist,,2003
Dom Phillips,Male,Freelancer,"June 5, 2022",Brazil,Murder,Killed,Journalist,,2022
Domingos Sávio Brandão Lima Júnior,Male,Folha do Estado,"September 30, 2002",Brazil,Murder,Killed,Journalist,,2002
Dominique Lonneux,Male,Freelancer,"June 2, 1993",Bosnia,Crossfire,Killed,Journalist,,1993
Dona St. Plite,Male,"WKAT, Miami","October 24, 1993",USA,Murder,Killed,Journalist,,1993
Dumesky Kersaint,Male,Radio-Télé INUREP,"April 16, 2023",Haiti,Murder,Killed,Journalist,,2023
Duraid Isa Mohammed,Male,CNN,"January 27, 2004",Iraq,Crossfire,Killed,Journalist,,2004
Dusko Jovanovic,Male,Dan,"May 28, 2004",Montenegro,Murder,Killed,Journalist,,2004
Dwijamani Singh,Male,Prime News,"December 23, 2012",India,Dangerous Assignment,Killed,Journalist,,2012
Dylan Lyons,Male,Spectrum News 13,"February 22, 2023",USA,Dangerous Assignment,Killed,Journalist,,2023
Ebrahim Zalzadeh,Male,Mayar,"February 22, 1997",Iran,Murder,Killed,Journalist,,1997
Edgar Alberto Nava López,Male,La Verdad de Zihuatanejo,"August 2, 2019",Mexico,Motive Unconfirmed,Killed,Journalist,,2019
Edgar Damalerio,Male,Zamboanga Scribe and DXKP Radio,"May 13, 2002",Philippines,Murder,Killed,Journalist,,2002
Edgar Daniel Esqueda Castro,Male,Freelancer,"October 5- 6, 2017",Mexico,Murder,Killed,Journalist,,2017
Edgar Joel Aguilar,Male,"Cablemar TV,Channel 6","August 31, 2019",Honduras,Motive Unconfirmed,Killed,Journalist,,2019
Edgar Lopes de Faria,Male,FM Capital,"October 29, 1997",Brazil,Murder,Killed,Journalist,,1997
Edgar Pantaleón Fernández Fleitas,Male,Belén Comunicaciones,"June 19, 2014",Paraguay,Murder,Killed,Journalist,,2014
Edinaldo Filgueira,Male,Jornal o Serrano,"June 15, 2011",Brazil,Murder,Killed,Journalist,,2011
Édison Alberto Molina,Male,Puerto Berrío Stereo,"September 11, 2013",Colombia,Murder,Killed,Journalist,,2013
Edmund Sestoso,Male,DYGB-FM,"May 1, 2018",Philippines,Motive Unconfirmed,Killed,Journalist,,2018
Eduard Markevich,Male,Novy Reft,"September 18, 2001",Russia,Murder,Killed,Journalist,,2001
Eduardo Carvalho,Male,Última Hora News,"November 21, 2012",Brazil,Murder,Killed,Journalist,,2012
Eduardo Dizon,Male,Brigada News FM,"July 10, 2019",Philippines,Murder,Killed,Journalist,,2019
Eduardo González,Male,F.M. Costanera del Sur,"March 12, 2017",Paraguay,Motive Unconfirmed,Killed,Journalist,,2017
Edward Chikomba,Male,Zimbabwe Broadcasting Corporation (former),"March 31, 2007",Zimbabwe,Murder,Killed,Journalist,,2007
Edward Smith,Male,BBC,"April 13, 1998",Sierra Leone,Crossfire,Killed,Journalist,,1998
Edwin Rivera Paz,Male,Freelancer,"July 9, 2017",Mexico,Motive Unconfirmed,Killed,Journalist,,2017
Efraín Varela Noriega,Male,Radio Meridiano-70,"June 28, 2002",Colombia,Murder,Killed,Journalist,,2002
Ejaz Raisani,Male,Samaa TV,"September 6, 2010",Pakistan,Dangerous Assignment,Killed,Journalist,,2010
Ejazul Haq,Male,City-42 TV,"May 28, 2010",Pakistan,Dangerous Assignment,Killed,Journalist,,2010
El-Hadj Mohamed Diallo,Male,"Guinée7, Afrik","February 5, 2016",Guinea,Dangerous Assignment,Killed,Journalist,,2016
Eldy Sablas (aka Eldy Gabinales),Male,Radio DXJR-FM,"October 19, 2004",Philippines,Murder,Killed,Journalist,,2004
Elidio Ramos Zárate,Male,El Sur,"June 19, 2016",Mexico,Murder,Killed,Journalist,,2016
Eliseo Barrón Hernández,Male,La Opinión,"May 25, 2009",Mexico,Murder,Killed,Journalist,,2009
Elmar Huseynov,Male,Monitor,"March 2, 2005",Azerbaijan,Murder,Killed,Journalist,,2005
Elpidio Binoya,Male,Radyo Natin,"June 17, 2004",Philippines,Murder,Killed,Journalist,,2004
Elpidio Inacio,Male,Televisao Popular de Angola,"August 23, 1993",Angola,Crossfire,Killed,Journalist,,1993
Elyas Dayee,Male,Radio Free Europe/Radio Liberty,"November 12, 2020",Afghanistan,Murder,Killed,Journalist,,2020
Emmanuel-Damien Rukondo,Male,Rubyiruko-Rubanda,"April 24, 1994",Rwanda,Murder,Killed,Journalist,,1994
Enenche Akogwu,Male,Channels TV,"January 20, 2012",Nigeria,Murder,Killed,Journalist,,2012
Enzo Baldoni,Male,Freelancer,"August 26, 2004",Iraq,Murder,Killed,Journalist,,2004
Ernesto Acero Cadena,Male,Informador Socioeconómico,"December 12, 1995",Colombia,Murder,Killed,Journalist,,1995
Ernesto Maravilla,Male,Bombo Radyo,"November 23, 2009",Philippines,Murder,Killed,Journalist,,2009
Ernie Rollin,Male,DXSY Radio,"February 23, 2009",Philippines,Murder,Killed,Journalist,,2009
Erol Akgun,Male,Devrimci Cozum,"September 8, 1994",Turkey,Murder,Killed,Journalist,,1994
Ersa Siregar,Male,Rajawali Citra Televisi,"December 29, 2003",Indonesia,Crossfire,Killed,Journalist,,2003
Essam Abdullah,Male,Hawar News Agency,"November 20, 2022",Syria,Crossfire,Killed,Journalist,,2022
Eudés Nshimiryo,Male,TV Rwanda,"April 7, 1994",Rwanda,Murder,Killed,Journalist,,1994
Eustorgio Colmenares,Male,La Opinión,"March 12, 1993",Colombia,Murder,Killed,Journalist,,1993
Evany José Metzker,Male,Coruja do Vale,"May 13, 14, 15, 16, 17, or 18, 2015",Brazil,Murder,Killed,Journalist,,2015
Evariste Djailoramdji,Male,Lotiko Radio,"February 9, 2022",Chad,Dangerous Assignment,Killed,Journalist,,2022
Fabien Fortuné Bitoumbo,Male,Radio Liberté,"August 29, 1998",Republic of Congo,Murder,Killed,Journalist,,1998
Fabio Polenghi,Male,Freelancer,"May 19, 2010",Thailand,Dangerous Assignment,Killed,Journalist,,2010
Facely Camara,Male,Liberté FM,"September 16, 2014",Guinea,Murder,Killed,Journalist,,2014
Fadel al-Hadidi,Male,Mosul al-Youm; Sada al-Iraq,Unknown in 2015,Iraq,Murder,Killed,Journalist,,
Fadel Shana,Male,Reuters,"April 16, 2008",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,,2008
Fadhil Hazem Fadhil,Male,Al-Hurriya,"April 14, 2005",Iraq,Crossfire,Killed,Journalist,,2005
Fadila Nejma,Male,Echourouk,"June 14, 2001",Algeria,Dangerous Assignment,Killed,Journalist,,2001
Faisal Arefin Dipan,Male,Jagriti Prokashoni,"October 31, 2015",Bangladesh,Murder,Killed,Journalist,,2015
Faisal Qureshi,Male,The London Post,"October 7, 2011",Pakistan,Murder,Killed,Journalist,,2011
Fakher Haider,Male,The New York Times,"September 19, 2005",Iraq,Murder,Killed,Journalist,,2005
Falah Khalaf al-Diyali,Male,Al-Sa'a,"January 15, 2007",Iraq,Murder,Killed,Journalist,,2007
Farag Fouda,Male,October,"June 8, 1992",Egypt,Murder,Killed,Journalist,,1992
Farah Ziane,Male,Révolution Africaine,"October 20, 1994",Algeria,Murder,Killed,Journalist,,1994
Fares Hamadi,Male,Eye on the Homeland,"October 30, 2015",Turkey,Murder,Killed,Journalist,,2015
Farhad Taqaddosi,Male,Press TV,"September 20, 2011",Afghanistan,Crossfire,Killed,Journalist,,2011
Farhan Jeemis Abdulle,Male,Radio Daljir and Simba Radio,"May 2, 2012",Somalia,Murder,Killed,Journalist,,2012
Farkhad Kerimov,Male,Associated Press TV,"May 29, 1995",Russia,Crossfire,Killed,Journalist,,1995
Fausto Gabriel Alcaraz Garay,Male,Radio Amambay,"May 16, 2014",Paraguay,Murder,Killed,Journalist,,2014
Fazal Wahab,Male,Freelancer,"January 21, 2003",Pakistan,Murder,Killed,Journalist,,2003
Federico Gempesaw,Male,Radyo Natin 106.3 FM CDO,"June 29, 2022",Philippines,Murder,Killed,Journalist,,2022
Felix Solovyov,Male,Freelancer,"February 26, 1996",Russia,Murder,Killed,Journalist,,1996
Feng Zhaoxia,Male,Gejie Daobao,"January 15, 2001",China,Murder,Killed,Journalist,,2001
Ferdinand Reyes,Male,Press Freedom,"February 13, 1996",Philippines,Murder,Killed,Journalist,,1996
Ferhat Cherkit,Male,El Moudjahid,"June 7, 1994",Algeria,Murder,Killed,Journalist,,1994
Ferhat Tepe,Male,Ozgur Gundem,"July 28, 1993",Turkey,Murder,Killed,Journalist,,1993
Fernando Batul,Male,DZRH and DYPR,"May 22, 2006",Philippines,Murder,Killed,Journalist,,2006
Fernando Marcelino,Male,Jango,"October 20, 1992",Angola,Murder,Killed,Journalist,,1992
Fernando Razon,Male,Periodico Ini,"November 23, 2009",Philippines,Murder,Killed,Journalist,,2009
Fernando Solijon,Male,DxLS Love Radio,"August 29, 2013",Philippines,Murder,Killed,Journalist,,2013
Ferzat Jarban,Male,Freelancer,"November 19 or 20, 2011",Syria,Dangerous Assignment,Killed,Journalist,,2011
"Fesshaye ""Joshua"" Yohannes",Male,Setit,on an unknown date (death disclosed February 2007),Eritrea,Dangerous Assignment,Killed,Journalist,,
Fidaa al-Baali,Male,Orient News,"July 5, 2013",Syria,Crossfire,Killed,Journalist,,2013
Fidel Ávila Gómez,Male,La Ke Buena,"Disappeared November 29, 2019; remains found January 7, 2020",Mexico,Motive Unconfirmed,Killed,Journalist,,2019
Fidelis Ikwuebe,Male,Freelancer,"April 18, 1999",Nigeria,Murder,Killed,Journalist,,1999
Filadelfo Sánchez Sarmiento,Male,La Favorita 103.3FM La Voz de la Sierra Sur,"July 2, 2015",Mexico,Murder,Killed,Journalist,,2015
Filaih Wuday Mijthab,Male,Al-Sabah,"June 17, 2007",Iraq,Murder,Killed,Journalist,,2007
Filolisho Khilvatshoev,Male,Payomi Dushanbe,"December, 1992",Tajikistan,Murder,Killed,Journalist,,1992
Firas al-Baher,Male,Nineveh al-Ghad,"May 1, 2015",Iraq,Murder,Killed,Journalist,,2015
Firas Maadidi,Male,As-Saffir and Al-Masar,"September 20, 2005",Iraq,Murder,Killed,Journalist,,2005
Firas Mohammed Attiyah,Male,Fallujah TV,"January 20, 2014",Iraq,Dangerous Assignment,Killed,Journalist,,2014
Flavio Bedoya,Male,Voz,"April 27, 2001",Colombia,Murder,Killed,Journalist,,2001
Francis Nyaruri,Male,Weekly Citizen,January 2009,Kenya,Murder,Killed,Journalist,,
Francis Tomasic,Male,Freelancer,"May 1, 1994",Bosnia,Crossfire,Killed,Journalist,,1994
Francisco Arratia Saldierna,Male,Freelancer,"August 31, 2004",Mexico,Murder,Killed,Journalist,,2004
Francisco Castro Menco,Male,Fundación Cultural,"November 8, 1997",Colombia,Murder,Killed,Journalist,,1997
Francisco Gomes de Medeiros,Male,Radio Caicó,"October 18, 2010",Brazil,Murder,Killed,Journalist,,2010
Francisco Javier Ortiz Franco,Male,Zeta,"June 22, 2004",Mexico,Murder,Killed,Journalist,,2004
Francisco Parada,Male,Unknown,"January 1, 1993",El Salvador,Murder,Killed,Journalist,,1993
Francisco Romero Díaz,Male,"Quintana Roo Hoy,Ocurrió Aquí,Quinta Fuerza","May 16, 2019",Mexico,Murder,Killed,Journalist,,2019
Frantzsen Charles,Male,FS News Haiti,"September 11, 2022",Haiti,Murder,Killed,Journalist,,2022
Freddy Elles Ahumada,Male,Freelancer,"March 18, 1997",Colombia,Murder,Killed,Journalist,,1997
Frédéric Leclerc-Imhoff,Male,BFMTV,"May 30, 2022",Ukraine,Crossfire,Killed,Journalist,,2022
Fredid Román Román,Male,"La Realidad,Vértice de Chilpancingo","August 22, 2022",Mexico,Motive Unconfirmed,Killed,Journalist,,2022
Fredy Fernando López Arévalo,Male,Freelancer,"October 28, 2021",Mexico,Motive Unconfirmed,Killed,Journalist,,2021
Fuad Muhammad Syafruddin,Male,Bernas,"August 16, 1996",Indonesia,Murder,Killed,Journalist,,1996
G. Raja Sekhar,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment,Killed,Journalist,,1997
Gabriel Alburo,Male,DYJL FM 94.5 Like Radio,"December 28, 2018",Philippines,Motive Unconfirmed,Killed,Journalist,,2018
Gabriel Cruz Díaz,Male,El Heraldo,"November 11, 1995",Colombia,Murder,Killed,Journalist,,1995
Gabriel Gruener,Male,Stern,"June 13, 1999",Yugoslavia,Crossfire,Killed,Journalist,,1999
Gadzhimurad Kamalov,Male,Chernovik,"December 15, 2011",Russia,Murder,Killed,Journalist,,2011
Gautam Das,Male,Samakal,"November 17, 2005",Bangladesh,Murder,Killed,Journalist,,2005
Gebran Tueni,Male,Al-Nahar,"December 12, 2005",Lebanon,Murder,Killed,Journalist,,2005
Gelson Domingos da Silva,Male,Bandeirantes TV,"November 6, 2011",Brazil,Dangerous Assignment,Killed,Journalist,,2011
Gene Boyd Lumawag,Male,MindaNews,"November 12, 2004",Philippines,Murder,Killed,Journalist,,2004
Gennady Pavlyuk (Ibragim Rustambek),Male,Bely Parokhod,"December 22, 2009",Kazakhstan,Murder,Killed,Journalist,,2009
Georg Friderich Pfuhl,Male,FADMST,"September 19, 1992",Bosnia,Crossfire,Killed,Journalist,,1992
George Abanga,Male,"Success FM, Peace FM","September 10, 2015",Ghana,Murder,Killed,Journalist,,2015
George Vigo,Male,Union of Catholic Asian News,"June 19, 2006",Philippines,Murder,Killed,Journalist,,2006
Georges Wolinski,Male,Charlie Hebdo,"January 7, 2015",France,Murder,Killed,Journalist,,2015
Georgy Chanya,Male,Resonants,"May 26, 1998",Georgia,Crossfire,Killed,Journalist,,1998
Georgy Gongadze,Male,Ukrainska Pravda,"September 16, 2000",Ukraine,Murder,Killed,Journalist,,2000
Georgy Sanaya,Male,Rustavi-2,"July 26, 2001",Georgia,Murder,Killed,Journalist,,2001
Gerald Fischman,Male,Capital Gazette,"June 28, 2018",USA,Murder,Killed,Journalist,,2018
Gerardo Antonio Moreno Aranda,Male,Breitbart News,"October 4, 2021",Mexico,Motive Unconfirmed,Killed,Journalist,,2021
Gerardo Bedoya Borrero,Male,El País,"March 20, 1997",Colombia,Murder,Killed,Journalist,,1997
Gerardo Ceferino Servían,Male,Ciudad Nueva FM,"March 5, 2015",Brazil,Murder,Killed,Journalist,,2015
Gerardo Delgado Olmedo,Male,Ola Manta TV,"August 10, 2022",Ecuador,Motive Unconfirmed,Killed,Journalist,,2022
Gerardo Ortega,Male,DWAR,"January 24, 2011",Philippines,Murder,Killed,Journalist,,2011
Germain Cyrille Ngota Ngota,Male,Cameroon Express,"April 22, 2010",Cameroon,Dangerous Assignment,Killed,Journalist,,2010
Germain Kennedy Mumbere Muliwavyo,Male,Radio Télévision Muungano,"February 16, 2014",Democratic Republic of the Congo,Crossfire,Killed,Journalist,,2014
German Vallecillo Jr.,Male,Canal 45TV,"July 1, 2020",Honduras,Murder,Killed,Journalist,,2020
Ghaith Abd al-Jawad,Male,Qaboun Media Center,"March 10, 2013",Syria,Crossfire,Killed,Journalist,,2013
Gharib Mohamed Salih,Male,Kurdistan TV,"February 1, 2004",Iraq,Crossfire,Killed,Journalist,,2004
Ghazi Rasooli,Male,1TV,"April 30, 2018",Afghanistan,Murder,Killed,Journalist,,2018
Ghulam Muhammad Lone,Male,Freelancer,"August 29, 1994",India,Murder,Killed,Journalist,,1994
Ghulam Rasool,Male,Online International News Network,"August 28, 2014",Pakistan,Murder,Killed,Journalist,,2014
Ghulam Rasool Birhamani,Male,Daily Sindhu Hyderabad,"May 9 or 10, 2010",Pakistan,Murder,Killed,Journalist,,2010
Ghulam Rasool Sheikh,Male,Rehnuma-e-Kashmir and Saffron Times,"April 10, 1996",India,Murder,Killed,Journalist,,1996
Gilbert Munana,Male,Le Flambeau,"April 8, 1994",Rwanda,Murder,Killed,Journalist,,1994
Gilles Jacquier,Male,France 2,"January 11, 2012",Syria,Dangerous Assignment,Killed,Journalist,,2012
Givanildo Oliveira,Male,Pirambu News,"February 7, 2022",Brazil,Murder,Killed,Journalist,,2022
Gleydson Carvalho,Male,Radio Liberdade FM 90.3,"August 6, 2015",Brazil,Murder,Killed,Journalist,,2015
Godwin Agbroko,Male,ThisDay,"December 22, 2006",Nigeria,Motive Unconfirmed,Killed,Journalist,,2006
Golam Rabbani Nadim,Male,Unknown,"June 14, 2023",Bangladesh,Murder,Killed,Journalist,,2023
Gratien Karambizi,Male,Imbaga,"April 9, 1994",Rwanda,Murder,Killed,Journalist,,1994
Greg Hapalla,Male,DXAS,"September 21, 1992",Philippines,Murder,Killed,Journalist,,1992
Gregorio Jiménez de la Cruz,Male,Notisur and Liberal del Sur,"Between February 5 and 11, 2014",Mexico,Murder,Killed,Journalist,,2014
Gregorio Rodríguez Hernández,Male,El Debate,"November 28, 2004",Mexico,Murder,Killed,Journalist,,2004
Grigol Chikhladze,Male,Caucasus Images,"August 10, 2008",Georgia,Crossfire,Killed,Journalist,,2008
Guido Puletti,Male,Freelancer,"May 29, 1993",Bosnia,Crossfire,Killed,Journalist,,1993
Guillaume Barreau-Decherf,Male,Freelancer,"November 13, 2015",France,Dangerous Assignment,Killed,Journalist,,2015
Guillermo Bravo Vega,Male,Alpevisión Radio,"April 28, 2003",Colombia,Murder,Killed,Journalist,,2003
Guillermo Quiroz Delgado,Male,Freelancer,"November 27, 2012",Colombia,Dangerous Assignment,Killed,Journalist,,2012
Gundars Matiss,Male,Kurzeme Vards,"November 28, 2001",Latvia,Murder,Killed,Journalist,,2001
Güngör Arslan,Male,Ses Kocaeli,"February 19, 2022",Turkey,Murder,Killed,Journalist,,2022
Gustavo Rafael Ruiz Cantillo,Male,Radio Galeón,"November 15, 2000",Colombia,Murder,Killed,Journalist,,2000
Gustavo Rojas Gabalo,Male,Radio Panzenú,"March 20, 2006",Colombia,Murder,Killed,Journalist,,2006
Gustavo Sánchez Cabrera,Male,"Panorama Pacífico,Noticias Minuto a Minuto","June 17, 2021",Mexico,Murder,Killed,Journalist,,2021
Guzmán Quintero Torres,Male,El Pilón,"September 16, 1999",Colombia,Murder,Killed,Journalist,,1999
Gyanendra Khadka,Male,Rastriya Samachar Samiti,"September 7, 2003",Nepal,Murder,Killed,Journalist,,2003
Habibollah Hosseinzadeh,Male,Press TV,"May 31, 2017",Afghanistan,Dangerous Assignment,Killed,Journalist,,2017
Hadi al-Mahdi,Male,Freelancer,"September 8, 2011",Iraq,Murder,Killed,Journalist,,2011
Hafiz Akdemir,Male,Ozgur Gundem,"June 8, 1992",Turkey,Murder,Killed,Journalist,,1992
Haidar al-Hussein,Male,Al-Sharq,"May 22, 2008",Iraq,Murder,Killed,Journalist,,2008
Haidar Hashim Suhail,Male,Al-Baghdadia TV,"March 10, 2009",Iraq,Crossfire,Killed,Journalist,,2009
Halit Gungen,Male,2000'e Dogru,"February 9, 1992",Turkey,Murder,Killed,Journalist,,1992
Hamid Abed Sarhan,Male,Freelancer,"June 26, 2007",Iraq,Murder,Killed,Journalist,,2007
Hamid al-Duleimi,Male,Nahrain,"March 17, 2007",Iraq,Murder,Killed,Journalist,,2007
Hamid Mahiout,Male,Liberté,"December 2, 1995",Algeria,Murder,Killed,Journalist,,1995
Hamoud al-Jnaid,Male,Radio Fresh,"November 23, 2018",Syria,Murder,Killed,Journalist,,2018
Hang Serei Odom,Male,Virakchun Khmer Daily,"September 11, 2012",Cambodia,Murder,Killed,Journalist,,2012
Hannibal Cachuela,Male,Punto News,"November 23, 2009",Philippines,Murder,Killed,Journalist,,2009
Hansi Krauss,Male,Associated Press,"July 12, 1993",Somalia,Murder,Killed,Journalist,,1993
Harb Hazzah al-Duleimi,Male,Hona Salaheddin,"July 7, 2017",Iraq,Crossfire,Killed,Journalist,,2017
Harry Burton,Male,Reuters Television,"November 19, 2001",Afghanistan,Murder,Killed,Journalist,,2001
Harry Yansaneh,Male,For Di People,"July 28, 2005",Sierra Leone,Murder,Killed,Journalist,,2005
Harunur Rashid,Male,Dainik Purbanchal,"March 2, 2002",Bangladesh,Murder,Killed,Journalist,,2002
Hashim al-Hamran,Male,Al-Masirah TV,"January 22, 2016",Yemen,Crossfire,Killed,Journalist,,2016
Hasibur Rahman Rubel,Male,"Kushtiar Khabar,CrimeVisionBD.com,Amader Notun Shomoy","July 3 - 7, 2022",Bangladesh,Motive Unconfirmed,Killed,Journalist,,2022
Hassan al-Anbaki,Male,Al-Sharqiya,"January 12, 2016",Iraq,Murder,Killed,Journalist,,2016
Hassan al-Wadhaf,Male,Arabic Media Agency,"September 24, 2011",Yemen,Dangerous Assignment,Killed,Journalist,,2011
Hassan Benaouda,Male,Algerian Television (ENTV),"March 12, 1994",Algeria,Murder,Killed,Journalist,,1994
Hassan Kafi Hared,Male,Somali National News Agency,"January 28, 2008",Somalia,Dangerous Assignment,Killed,Journalist,,2008
Hassan Mayow Hassan,Male,Radio Shabelle,"January 1, 2009",Somalia,Murder,Killed,Journalist,,2009
Hassan Osman Abdi,Male,Shabelle Media Network,"January 28, 2012",Somalia,Murder,Killed,Journalist,,2012
Hassan Yusuf Absuge,Male,Radio Maanta,"September 21, 2012",Somalia,Murder,Killed,Journalist,,2012
Hassan Zubeyr,Male,Al-Arabiya,"December 3, 2009",Somalia,Crossfire,Killed,Journalist,,2009
Hassouneh Salim,Male,Unknown,"November 18, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Hatem Abu Yehia,Male,Al-Ikhbariya,"August 10, 2012",Syria,Motive Unconfirmed,Killed,Journalist,,2012
Hawker Faisal Mohammed,Male,Hawar News Agency (ANHA),"October 13, 2017",Syria,Crossfire,Killed,Journalist,,2017
Hayatullah Khan,Male,Freelancer,"June 16, 2006",Pakistan,Murder,Killed,Journalist,,2006
Haymin Mohamed Salih,Male,Qulan TV,"February 1, 2004",Iraq,Crossfire,Killed,Journalist,,2004
Heber López Vásquez,Male,"NoticiasWeb,RCP Noticias","February 10, 2022",Mexico,Murder,Killed,Journalist,,2022
Héctor González Antonio,Male,"Excélsior, Imagen, Todo Noticias","May 28 or May 29, 2018",Mexico,Motive Unconfirmed,Killed,Journalist,,2018
Héctor Ramírez,Male,Noti7 and Radio Sonora,"July 24, 2003",Guatemala,Dangerous Assignment,Killed,Journalist,,2003
Héctor Sandoval,Male,RCN Televisión,"April 12, 2002",Colombia,Crossfire,Killed,Journalist,,2002
Henry Araneta,Male,DZRH,"November 23, 2009",Philippines,Murder,Killed,Journalist,,2009
Herliyanto,Male,Radar Surabaya and Jimber News Visioner,"April 29, 2006",Indonesia,Murder,Killed,Journalist,,2006
Hernando Rangel Moreno,Male,Freelancer,"April 11, 1999",Colombia,Murder,Killed,Journalist,,1999
Herson Hinolan,Male,Bombo Radyo,"November 13, 2004",Philippines,Murder,Killed,Journalist,,2004
Hiro Muramoto,Male,Reuters,"April 10, 2010",Thailand,Dangerous Assignment,Killed,Journalist,,2010
Hisham Alnwajha,Male,“Khabar” News Agency,"October 9, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Hisham Fares al-Adhami,Male,Freelancer,"October 4, 2019",Iraq,Dangerous Assignment,Killed,Journalist,,2019
Hosea Maina,Male,Reuters,"July 12, 1993",Somalia,Murder,Killed,Journalist,,1993
Hosein Naderi,Male,Afghan Voice Agency,"March 11, 2023",Afghanistan,Murder,Killed,Journalist,,2023
Hozan Abdel Halim Mahmoud,Male,Freelancer,"November 19, 2012",Syria,Crossfire,Killed,Journalist,,2012
Hrant Dink,Male,Agos,"January 19, 2007",Turkey,Murder,Killed,Journalist,,2007
Humam Najjar (Abu Yazan al-Halabi),Male,Aleppo Today,"April 16, 2015",Syria,Crossfire,Killed,Journalist,,2015
Humayun Kabir,Male,Janmabhumi,"June 24, 2004",Bangladesh,Murder,Killed,Journalist,,2004
Humberto Coronel,Male,Radio Amambay,"September 6, 2022",Paraguay,Motive Unconfirmed,Killed,Journalist,,2022
Humphrey Jupiter Nkonde,Male,Mission Press,"September 22--26, 2019",Zambia,Motive Unconfirmed,Killed,Journalist,,2019
Huseyin Deniz,Male,Ozgur Gundem,"August 9, 1992",Turkey,Murder,Killed,Journalist,,1992
